slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
29,14.5,0.635361794518977,61.937197289743494,62.220457518049436,156.04965439706496,86.28810935124454,0.0,0.0,0.0,0.0
30,15.0,0.7352773391627698,63.30461550384376,71.31470692740396,156.04965439706496,84.79762349787525,14.4,4.675641979600277,14.4,14.399941588314121
31,15.5,0.7610241045983146,64.7004019066441,67.69112759425477,156.04965439706496,83.27621631882289,32.0,13.503638705587889,32.0,31.999857422846823
32,16.0,0.7898928621068477,66.04288429510547,65.72354158718498,156.04965439706496,81.8129105154,74.4,35.0217693829789,74.4,61.91561907185899
33,16.5,0.8526466841118747,67.2280279610894,64.0218567873658,156.04965439706496,80.52110391947751,80.52110391947753,40.98327030338246,80.52110391947751,65.38929036701175
34,17.0,0.9547451335309749,68.13800028839286,64.58945093017229,156.04965439706496,79.52923408271674,79.52923408271675,51.46759300323272,79.52923408271673,64.25565130458689
35,17.5,0.969959466750794,68.65309969443253,77.65899722595876,156.04965439706496,78.9677757301335,78.9677757301335,58.70569710109406,78.96777573013351,63.78187025673985
36,18.0,0.9925004349650817,68.66565439706494,71.51320627257192,156.04965439706496,78.95409110426417,78.95409110426415,60.40680458368107,2.6400000000000023,62.01247237183172
37,18.5,0.9986634654861386,68.09396651815139,68.47127948297066,156.04965439706496,79.57723089227994,79.57723089227994,60.31676247364985,0.0,61.705413651285916
38,19.0,0.9922604127639569,66.89417145876976,64.98544584524805,156.04965439706496,80.88500750700592,80.88500750700594,72.71588932428669,56.49025886278463,62.48693757690718
39,19.5,0.9861537191614347,65.06807963641094,59.07466097604636,156.04965439706496,82.87544759337703,82.87544759337703,82.87544759337703,82.87544759337703,64.82375409772249
40,20.0,0.9402930536011742,62.66565439706494,62.31396666568862,156.04965439706496,85.49409110426417,85.49409110426416,85.49409110426419,85.49409110426417,70.81378015601277
41,20.5,0.881553203394832,59.781648239687264,64.22585832930102,156.04965439706496,88.63765781580585,88.63765781580585,88.63765781580587,88.63765781580585,78.65044078305307
42,21.0,0.7931219544706033,56.54689037292404,54.62627886281527,156.04965439706496,92.16354389057776,92.16354389057771,92.16354389057776,92.16354389057776,85.2066021684198
43,21.5,0.7725813618988051,53.11558668921349,52.050515427701825,156.04965439706496,95.90366490582225,88.84503873966908,95.90366490582225,95.90366490582225,90.30157492625794
44,22.0,0.6847021720245938,49.6505794496922,48.6605589048998,156.04965439706496,99.68052279690045,94.43205381278497,99.68052279690046,99.68052279690046,96.40432141235965
45,22.5,0.6755924256263155,46.30871036840401,46.77761235113939,156.04965439706496,103.32316009550459,74.05611758378649,103.32316009550459,103.32316009550459,101.79077794536529
46,23.0,0.5694026737297994,43.228224214136375,36.70692600949955,156.04965439706496,106.6808900036563,48.34507645025298,106.68089000365632,106.6808900036563,105.26116441407126
47,23.5,0.5582275135312361,40.519618869762944,39.59422625156356,156.04965439706496,109.63326982902333,25.89196353176171,104.67389782449186,109.63326982902333,102.14115111539869
