slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
34,17.0,0.8805935705449516,68.13800028839286,67.55729110140035,319.92965439706495,246.20337409136854,166.0185947650353,116.92829194495702,100.54002427866341,166.01778694834266
35,17.5,1.0125488708386257,68.65309969443253,70.05794286764001,319.92965439706495,245.65736872096647,195.15339891051687,140.07460396428934,10.327999999999982,187.18302005515991
36,18.0,0.9832939781227553,68.66565439706494,67.63754250598801,319.92965439706495,245.6440607361761,199.1533994051552,143.50481622574864,72.59558948457497,187.99733366029216
37,18.5,1.0060983444058007,68.09396651815139,64.03178644838982,319.92965439706495,246.2500498878245,178.28252173631176,143.5555782945897,51.94400000000002,185.59618183667274
38,19.0,0.9905241685005534,66.89417145876976,61.66745395959731,319.92965439706495,247.521832650769,157.56233057479088,135.17025545568012,34.86090932174416,169.37463668267833
39,19.5,0.9700176219130213,65.06807963641094,63.785819993212215,319.92965439706495,249.45748998246935,150.3815183498179,153.78831407091252,65.94702275208968,150.38246606450147
40,20.0,0.9277210331516317,62.66565439706494,59.77920835179914,319.92965439706495,252.00406073617611,174.44105100976236,172.5940575697785,99.63671974616543,174.43988819930613
41,20.5,0.9238660118742871,59.781648239687264,60.97148067298535,319.92965439706495,255.06110726299642,181.23199999999994,187.3737409574281,157.23641365703057,181.23188306785124
42,21.0,0.793220498636425,56.54689037292404,56.525206876034645,319.92965439706495,258.48995060176543,159.05581962481355,187.38077108186397,219.93424759591002,159.05580909989501
43,21.5,0.7208670901236075,53.11558668921349,46.730543237333976,319.92965439706495,262.12713250649864,119.98661474741304,172.58444527665256,238.9404019258106,119.98697182537084
44,22.0,0.6765093572622972,49.6505794496922,49.951218083436764,319.92965439706495,265.8000401803912,126.14308707784751,178.51848640225072,241.8671047816516,126.1429603897431
45,22.5,0.6148785584848399,46.30871036840401,40.56325169533894,319.92965439706495,269.3424214065567,97.67796025745633,160.24260566462934,269.3424214065567,97.67868187278513
46,23.0,0.6198529955849511,43.228224214136375,40.7045537947207,319.92965439706495,272.6077367300804,64.99152600017574,153.80385857620493,250.40444554957685,64.99463667494422
47,23.5,0.5821774931765697,40.519618869762944,39.362462692429396,319.92965439706495,275.4788583951162,8.664000000000001,141.27361147019198,243.19999999999987,8.665019210644259
